week,Contact ID,Date from,Date to,Call duration,Date,Time,Number of silences,Silence Avg,Silence Max
1,wk1_194788919454,03-Jan-22,09-Jan-22,74,04-Jan-22,11:21AM,2,446.5,466
1,wk1_194874479851,03-Jan-22,09-Jan-22,233,06-Jan-22,8:50AM,3,260.3,418
1,wk1_194875469528,03-Jan-22,09-Jan-22,88,06-Jan-22,2:40PM,2,172.5,194
1,wk1_194921699757,03-Jan-22,09-Jan-22,212,07-Jan-22,10:25AM,7,226.4,400
1,wk1_194922431333,03-Jan-22,09-Jan-22,66,07-Jan-22,3:41PM,1,285,285
2,wk2_195080643105,10-Jan-22,16-Jan-22,146,11-Jan-22,7:42AM,2,206,233
2,wk2_195080935234,10-Jan-22,16-Jan-22,236,11-Jan-22,9:05AM,0,0,0
2,wk2_195119994188,10-Jan-22,16-Jan-22,261,12-Jan-22,9:25AM,2,216,225
2,wk2_195121467932,10-Jan-22,16-Jan-22,272,13-Jan-22,6:45AM,12,345,774
2,wk2_195218056010,10-Jan-22,16-Jan-22,55,14-Jan-22,9:51AM,0,0,0
3,wk3_195362416814,17-Jan-22,23-Jan-22,116,18-Jan-22,1:17PM,0,0,0
3,wk3_195457409780,17-Jan-22,23-Jan-22,213,20-Jan-22,10:38AM,6,174.6,203
3,wk3_195457437624,17-Jan-22,23-Jan-22,239,20-Jan-22,10:46AM,5,269,473
3,wk3_195500356667,17-Jan-22,23-Jan-22,84,21-Jan-22,9:26AM,0,0,0
3,wk3_195500501705,17-Jan-22,23-Jan-22,74,21-Jan-22,10:12AM,0,0,0
4,wk4_195597016190,24-Jan-22,30-Jan-22,262,24-Jan-22,8:57AM,5,151.2,182
4,wk4_195646136045,24-Jan-22,30-Jan-22,74,25-Jan-22,7:48AM,2,686,913
4,wk4_195722195767,24-Jan-22,30-Jan-22,344,27-Jan-22,10:06AM,11,321.2,687
4,wk4_195722394508,24-Jan-22,30-Jan-22,123,27-Jan-22,11:07AM,0,0,0
4,wk4_195755759126,24-Jan-22,30-Jan-22,191,27-Jan-22,12:52PM,2,204.5,228
5,wk5_195929424109,31-Jan-22,06-Feb-22,163,01-Feb-22,10:31AM,5,303.4,778
5,wk5_196046567703,31-Jan-22,06-Feb-22,198,04-Feb-22,7:17AM,8,279.6,553
5,wk5_196046888983,31-Jan-22,06-Feb-22,210,04-Feb-22,8:48AM,9,171.4,302
5,wk5_196095807786,31-Jan-22,06-Feb-22,179,04-Feb-22,2:31PM,3,191,212
5,wk5_196095892036,31-Jan-22,06-Feb-22,172,04-Feb-22,3:32PM,5,237.8,422
6,wk6_196241832346,07-Feb-22,13-Feb-22,85,09-Feb-22,12:02PM,2,176,186
6,wk6_196289568396,07-Feb-22,13-Feb-22,275,10-Feb-22,10:59AM,12,207.7,327
6,wk6_196289965246,07-Feb-22,13-Feb-22,172,10-Feb-22,1:23PM,4,170.3,211
6,wk6_196290241995,07-Feb-22,13-Feb-22,91,10-Feb-22,4:23PM,3,141.3,160
6,wk6_196357002595,07-Feb-22,13-Feb-22,187,11-Feb-22,8:43AM,2,262,312
7,wk7_196459287606,14-Feb-22,20-Feb-22,271,15-Feb-22,8:36AM,5,224.6,432
7,wk7_196564297869,14-Feb-22,20-Feb-22,309,17-Feb-22,8:19AM,5,211.4,249
7,wk7_196564394141,14-Feb-22,20-Feb-22,297,17-Feb-22,8:49AM,5,211.6,288
7,wk7_196625952097,14-Feb-22,20-Feb-22,146,18-Feb-22,7:03AM,5,189,243
7,wk7_196626081008,14-Feb-22,20-Feb-22,185,18-Feb-22,7:38AM,5,257,498
8,wk8_196821506301,21-Feb-22,27-Feb-22,235,23-Feb-22,10:16AM,5,343.6,436
8,wk8_196867933873,21-Feb-22,27-Feb-22,213,24-Feb-22,12:28PM,5,218,344
8,wk8_196715170715,21-Feb-22,27-Feb-22,190,21-Feb-22,6:47AM,2,120,176
8,wk8_196715551871,21-Feb-22,27-Feb-22,169,21-Feb-22,9:47AM,5,205.4,266
8,wk8_196716064961,21-Feb-22,27-Feb-22,137,21-Feb-22,1:56PM,0,0,0
9,wk9_197048675746,28-Feb-22,06-Mar-22,304,01-Mar-22,10:56AM,7,211,342
9,wk9_197212298037,28-Feb-22,06-Mar-22,231,04-Mar-22,7:56AM,9,359.4,977
9,wk9_197025898522,28-Feb-22,06-Mar-22,173,28-Feb-22,12:25PM,1,126,126
9,wk9_197048938090,28-Feb-22,06-Mar-22,147,01-Mar-22,12:29PM,2,201.5,246
9,wk9_197162957061,28-Feb-22,06-Mar-22,130,03-Mar-22,11:37AM,0,0,0
10,wk10_197342277387,07-Mar-22,13-Mar-22,120,08-Mar-22,1:42PM,1,158,158
10,wk10_197391322961,07-Mar-22,13-Mar-22,128,09-Mar-22,7:58AM,2,134,138
10,wk10_197392091955,07-Mar-22,13-Mar-22,110,09-Mar-22,12:24PM,1,161,161
10,wk10_197457247439,07-Mar-22,13-Mar-22,94,10-Mar-22,7:19AM,0,0,0
10,wk10_197497314591,07-Mar-22,13-Mar-22,79,11-Mar-22,4:42PM,2,296,379
11,wk11_197588662716,14-Mar-22,20-Mar-22,78,14-Mar-22,1:40PM,1,135,135
11,wk11_197731887248,14-Mar-22,20-Mar-22,86,17-Mar-22,9:53AM,0,0,0
11,wk11_197876097358,14-Mar-22,20-Mar-22,86,22-Mar-22,9:14AM,0,0,0
11,wk11_197681689640,14-Mar-22,20-Mar-22,116,16-Mar-22,2:45PM,0,0,0
11,wk11_197731731753,14-Mar-22,20-Mar-22,176,17-Mar-22,8:52AM,2,139.5,155
12,wk12_197875247914,21-Mar-22,27-Mar-22,39,21-Mar-22,3:35PM,0,0,0
12,wk12_197876097358,21-Mar-22,27-Mar-22,86,22-Mar-22,9:14AM,0,0,0
12,wk12_197964510357,21-Mar-22,27-Mar-22,44,23-Mar-22,8:42AM,0,0,0
12,wk12_198023610304,21-Mar-22,27-Mar-22,58,24-Mar-22,10:58AM,0,0,0
12,wk12_198048782677,21-Mar-22,27-Mar-22,57,25-Mar-22,2:06PM,0,0,0
13,wk13_198334698021,28-Mar-22,03-Apr-22,103,04-Apr-22,3:47PM,1,143,143
13,wk13_198452312770,28-Mar-22,03-Apr-22,75,04-Apr-22,10:16AM,0,0,0
13,wk13_198452634852,28-Mar-22,03-Apr-22,75,04-Apr-22,11:31AM,2,208.5,228
13,wk13_198453461021,28-Mar-22,03-Apr-22,76,31-Mar-22,5:27PM,2,489,740
13,wk13_198155297716,28-Mar-22,03-Apr-22,93,29-Mar-22,2:23PM,0,0,0
14,wk14_198451997615,04-Apr-22,10-Apr-22,213,04-Apr-22,9:00AM,5,709.4,2612
14,wk14_198472052286,04-Apr-22,10-Apr-22,154,05-Apr-22,7:50AM,4,178.7,231
14,wk14_198579734081,04-Apr-22,10-Apr-22,120,07-Apr-22,10:57AM,0,0,0
14,wk14_198580278943,04-Apr-22,10-Apr-22,113,07-Apr-22,4:23PM,2,288,394
