Contact ID,callduration,Date,week
Call #1,20,17-Jan-22,Monday
Call #2,2,17-Jan-22,Monday
Call #3,27,18-Jan-22,Tuesday
Call #4,40,18-Jan-22,Tuesday
Call #5,3,18-Jan-22,Tuesday
Call #6,23,18-Jan-22,Tuesday
Call #7,24,18-Jan-22,Tuesday
Call #8,73,18-Jan-22,Tuesday
Call #9,4,18-Jan-22,Tuesday
Call #10,6,18-Jan-22,Tuesday
Call #11,11,18-Jan-22,Tuesday
Call #12,14,18-Jan-22,Tuesday
Call #13,11,18-Jan-22,Tuesday
Call #14,0,18-Jan-22,Tuesday
Call #15,21,18-Jan-22,Tuesday
Call #16,38,18-Jan-22,Tuesday
Call #17,129,18-Jan-22,Tuesday
Call #18,14,18-Jan-22,Tuesday
Call #19,42,18-Jan-22,Tuesday
Call #20,21,18-Jan-22,Tuesday
Call #21,12,18-Jan-22,Tuesday
Call #22,3,18-Jan-22,Tuesday
Call #23,1,18-Jan-22,Tuesday
Call #24,8,19-Jan-22,Wednesday
Call #25,26,19-Jan-22,Wednesday
Call #26,8,19-Jan-22,Wednesday
Call #27,44,19-Jan-22,Wednesday
Call #28,14,19-Jan-22,Wednesday
Call #29,2,19-Jan-22,Wednesday
Call #30,21,19-Jan-22,Wednesday
Call #31,10,19-Jan-22,Wednesday
Call #32,17,19-Jan-22,Wednesday
Call #33,52,19-Jan-22,Wednesday
Call #34,6,19-Jan-22,Wednesday
Call #35,28,19-Jan-22,Wednesday
Call #36,0,19-Jan-22,Wednesday
Call #37,14,19-Jan-22,Wednesday
Call #38,11,19-Jan-22,Wednesday
Call #39,6,19-Jan-22,Wednesday
Call #40,1,19-Jan-22,Wednesday
Call #41,24,19-Jan-22,Wednesday
Call #42,0,19-Jan-22,Wednesday
Call #43,5,19-Jan-22,Wednesday
Call #44,3,19-Jan-22,Wednesday
Call #45,12,19-Jan-22,Wednesday
Call #46,7,20-Jan-22,Thursday
Call #47,23,20-Jan-22,Thursday
Call #48,44,20-Jan-22,Thursday
Call #49,12,20-Jan-22,Thursday
Call #50,19,20-Jan-22,Thursday
Call #51,6,20-Jan-22,Thursday
Call #52,4,20-Jan-22,Thursday
Call #53,12,20-Jan-22,Thursday
Call #54,214,20-Jan-22,Thursday
Call #55,238,20-Jan-22,Thursday
Call #56,11,20-Jan-22,Thursday
Call #57,11,20-Jan-22,Thursday
Call #58,9,20-Jan-22,Thursday
Call #59,7,20-Jan-22,Thursday
Call #60,49,20-Jan-22,Thursday
Call #61,15,20-Jan-22,Thursday
Call #62,38,20-Jan-22,Thursday
Call #63,13,20-Jan-22,Thursday
Call #64,14,20-Jan-22,Thursday
Call #65,0,21-Jan-22,Friday
Call #66,14,21-Jan-22,Friday
Call #67,6,21-Jan-22,Friday
Call #68,3,21-Jan-22,Friday
Call #69,12,21-Jan-22,Friday
Call #70,10,21-Jan-22,Friday
Call #71,9,21-Jan-22,Friday
Call #72,104,21-Jan-22,Friday
Call #73,14,21-Jan-22,Friday
Call #74,19,21-Jan-22,Friday
