week,Contact ID,Silence duration (seconds),Class,Subclass
1,wk1_194788919454,427,Request,Photos
1,wk1_194788919454,466,Request,Photos
1,wk1_194874479851,165,Request,Screenshots
1,wk1_194874479851,198,Analysis,Batteries
1,wk1_194874479851,418,Action,Firmware
1,wk1_194875469528,151,Complaint,Process
1,wk1_194875469528,194,Analysis,Team
1,wk1_194921699757,135,Request,Screenshots
1,wk1_194921699757,129,Question,Power status
1,wk1_194921699757,400,Request,Restart
1,wk1_194921699757,375,Action,Firmware
1,wk1_194921699757,124,Request,Photos
1,wk1_194921699757,268,Analysis,Screenshots
1,wk1_194921699757,154,Request,Batteries
1,wk1_194922431333,285,Request,Photos
2,wk2_195080643105,179,Request,Power status
2,wk2_195080643105,233,Analysis,Team
2,wk2_195119994188,207,Analysis,Batteries
2,wk2_195119994188,225,Action,Error
2,wk2_195121467932,159,Analysis,Batteries
2,wk2_195121467932,170,Analysis,Screenshots
2,wk2_195121467932,228,Analysis,Team
2,wk2_195121467932,255,Request,Photos
2,wk2_195121467932,305,Analysis,Batteries
2,wk2_195121467932,324,Request,RMA
2,wk2_195121467932,357,Request,RMA
2,wk2_195121467932,361,Action,Error
2,wk2_195121467932,393,Analysis,Batteries
2,wk2_195121467932,402,Complaint,Process
2,wk2_195121467932,413,Request,Photos
2,wk2_195121467932,774,Question,Cable test
3,wk3_195457409780,184,Question,MIDC
3,wk3_195457409780,146,Action,Error
3,wk3_195457409780,159,Request,Restart
3,wk3_195457409780,189,Request,Photos
3,wk3_195457409780,167,Request,Photos
3,wk3_195457409780,203,Request,Photos
3,wk3_195457437624,380,Request,Break
3,wk3_195457437624,229,Request,Break
3,wk3_195457437624,133,Analysis,Batteries
3,wk3_195457437624,473,Request,Photos
3,wk3_195457437624,130,Question,Wi-Fi
4,wk4_195597016190,138,Request,Photos
4,wk4_195597016190,151,Request,Photos
4,wk4_195597016190,182,Request,Screenshots
4,wk4_195597016190,121,Admin,Firmware
4,wk4_195597016190,164,Complaint,Process
4,wk4_195646136045,459,Request,Photos
4,wk4_195646136045,913,Action,Restart
4,wk4_195722195767,249,Action,Restart
4,wk4_195722195767,276,Analysis,Batteries
4,wk4_195722195767,220,Analysis,Batteries
4,wk4_195722195767,271,Request,Screenshots
4,wk4_195722195767,145,Action,Firmware
4,wk4_195722195767,646,Request,Photos
4,wk4_195722195767,687,Request,Photos
4,wk4_195722195767,185,Action,Restart
4,wk4_195722195767,160,Analysis,Batteries
4,wk4_195722195767,481,Request,Restart
4,wk4_195722195767,214,Analysis,Connection
4,wk4_195755759126,181,Action,Error
4,wk4_195755759126,228,Request,Photos
5,wk5_195929424109,344,Admin,Case
5,wk5_195929424109,149,Request,Photos
5,wk5_195929424109,121,Request,Photos
5,wk5_195929424109,778,Analysis,Team
5,wk5_195929424109,125,Analysis,Team
5,wk5_196046567703,553,Analysis,Photos
5,wk5_196046567703,249,Question,Power status
5,wk5_196046567703,155,Request,Screenshots
5,wk5_196046567703,320,Analysis,Team
5,wk5_196046567703,190,Question,Power status
5,wk5_196046567703,152,Request,Photos
5,wk5_196046567703,444,Complaint,Process
5,wk5_196046567703,174,Analysis,Photos
5,wk5_196046888983,128,Analysis,Photos
5,wk5_196046888983,155,Request,Restart
5,wk5_196046888983,162,Request,Screenshots
5,wk5_196046888983,124,Analysis,Screenshots
5,wk5_196046888983,179,Question,Spares
5,wk5_196046888983,205,Request,Photos
5,wk5_196046888983,302,Analysis,Photos
5,wk5_196046888983,158,Analysis,Team
5,wk5_196046888983,130,Action,Restart
5,wk5_196095807786,170,Action,Firmware
5,wk5_196095807786,191,Analysis,Connection
5,wk5_196095807786,212,Analysis,Team
5,wk5_196095892036,422,Request,Screenshots
5,wk5_196095892036,133,Request,Photos
5,wk5_196095892036,247,Request,Photos
5,wk5_196095892036,165,Analysis,Connection
5,wk5_196095892036,222,Analysis,Batteries
6,wk6_196241832346,166,Admin,Case
6,wk6_196241832346,186,Request,Photos
6,wk6_196289568396,161,Action,Error
6,wk6_196289568396,294,Action,Firmware
6,wk6_196289568396,158,Action,Restart
6,wk6_196289568396,327,Action,MIs
6,wk6_196289568396,127,Action,MIs
6,wk6_196289568396,128,Action,MIs
6,wk6_196289568396,185,Action,MIs
6,wk6_196289568396,218,Action,MIs
6,wk6_196289568396,138,Request,Restart
6,wk6_196289568396,333,Action,Firmware
6,wk6_196289568396,227,Analysis,Connection
6,wk6_196289568396,197,Request,Screenshots
6,wk6_196289965246,143,Admin,Case
6,wk6_196289965246,157,Request,Photos
6,wk6_196289965246,211,Request,Photos
6,wk6_196357002595,312,Action,Restart
6,wk6_196357002595,212,Action,Restart
6,wk6_196290241995,160,Action,Restart
6,wk6_196290241995,135,Analysis,Batteries
6,wk6_196290241995,129,Analysis,Batteries
7,wk7_196459287606,195,Request,Break
7,wk7_196459287606,432,Action,Firmware
7,wk7_196459287606,130,Request,Break
7,wk7_196459287606,208,Action,Firmware
7,wk7_196459287606,158,Question,Last visit
7,wk7_196564297869,245,Request,Photos
7,wk7_196564297869,187,Request,Photos
7,wk7_196564297869,249,Request,Screenshots
7,wk7_196564297869,190,Request,Photos
7,wk7_196564297869,186,Request,Screenshots
7,wk7_196564394141,202,Question,LED lights
7,wk7_196564394141,288,Request,Photos
